reviewText,pos_score,neg_score,sentiment
keep short sweet cord contains lead must handled regularly car nowhere clean hand touching thingsound quality quickly go downhill crackling evident usesnow stuck dashboard player modular adapter broke cassette fully eject sure husband griping entire time try get unstuckavoid costsi scanned past negative review since product really positive review lot helpful vote big mistake unstick adapter cassette player try get amazon take back bought clearance,0.167,0.188,1
best headset ever used used jabra bud stuck ear would hurt ear direct sound coming ear also numerous wired headset wife pink motorola ton background noisethe jawbone sound like holding phone earthe jawbone come different hoop behind ear large regular ear also come various bud ear dont get frustrated right back doesnt fit right box everyone different shaped ear first disapointed standard round bud kept falling ear changing hoop found bud fit ear jawbone feel snug doesnt fall ear barely know earthe button arent big deal learn problem use answer button phone usually look see calling anyway dont youthe background noise reduction work well dad tell voice sounded somewhat tinny like tin turned noise reduction said made huge difference would much rather voice sound little background noisei read review amazon said seemed plasticy fragile course made plastic bluetooth isnt would actually rate look feel jawbone higher think doesnt feel light cheezy like lot bluetoothsoverall love product would recomend anyone,0.136,0.076,0
plugged worked work every time great buy quality good,0.5,0.0,0
got product fast look feel great one phone however interfere cellular signal brought bar sometimes none started dropping call people line said fading able talk someone took cover note bar popped back problem phone call anymore tried make sure cover sure enough thing partner try kind phone thing note return case refund disappointing great looking case,0.228,0.083,0
love charger work great opened apps charging still charged kill battery like charger phone,0.411,0.247,0
worried bad review however said redesighned took chance first one received large crack packaged ended returning ordering next one came box good pleased ordered one price style different brand two like one better thin slim style bulk brand samethe belt clip much stronger looking brand say need super strong clip may stronger brand orderedone feature one clip one side case stand one dont want holster part use stand want pushed dont brand built holster clip scince phone face seems kinda useless strong problem would carefull also otter box say like one much better dont need super strong thick bulky type case like switch case color suit mood need kind use love take gym clip shirt pant whatever problam want use stand playing work good make higher end looking one got like prefer one said need super strong case may protection purse car basic use case good buy,0.344,0.071,0
case great bought another one main reason bought case two way attach belt never trusted clipon style wanted belt loop fit bill also slip end headset thru hole flap main body pull earpiece body wrap cord around bottom join together snap closed also folded micro fiber cleaning cloth cash fold stand slipped card slot main body case hold iphone added snapon case securely neither tight loose highly recommend product fact ordered second quality unexpected low price,0.18,0.053,0
headset look nice also work good thing little bit bigger headset market still good product,0.417,0.0,0
cell phone case mayed plastic get make sure ergdes dont break another onei broke would stay,0.12,0.147,1
product thick wouldnt fit blackberry bold get one insteadafc trident micro sim card adapter apple ipad iphone knowing wouldnt recommend either iphone ipadthe product doesnt ear photo ive asked seller change photo see havent botheredthey got donation consultation,0.0,0.155,1
well bought could spare cord since original cord car usb charger got tired keeping track last cord work plugged wall hooked phone wont stay connected transfer file anything need cord plug wall work dont even think cord want use,0.131,0.067,0
galaxy great phone finish slippery phone easy drop case solves problem inexpensively without adding lot bulk volume power key harder operate without case though thats good thing power button prevents accidental powerons good volume control though well worth pricenote order get hole line right put volume control side phone case first stretch case power button side phone,0.279,0.084,0
easy use work dont know else said ive quite havent problem,0.377,0.0,0
nice bluetooth headphset power connector simply accessible cable unless charge unfolded design really bad want able charge folded right angle adapter needed price right work pretty well giving starsi little nitpicky actually would preferred left angle connector right angle work connector pointed direction would worked even better note connector exactly match picture product description knew getting ahead time wanted get something apparently nobody make anyway need right angle star review,0.183,0.046,0
use cutting grass love lil cheap coming unsewn job bigger arm lil tight,0.251,0.09,0
buy lot ipod cable whether worth buying cheap one replace often worth sure find good one bad one one considering price,0.316,0.123,0
didnt work phone rather cheap ended giving away cheaply made,0.211,0.0,0
sure something say come pictured still disappointedthe tool helped get job done also hold well plastic plying tool bent broke fairly quickly cant say wasnt user error seemed cheap,0.193,0.081,0
happy quality product chip looking material however fit price wish little bigger phone could easily come specially using protector cover also could easily turn phone answer easy use clip belt purse tight however like two simcard keeper slot international traveling use,0.36,0.0,0
must stupid ordered kind problem jabra icon earpiece would stay ear charger work one jabra hassled hell wanted return lost itof course kept falling earon one decided order different type earpiece none worked finally made custom mold ear waiting trying fell ear headset fall ear constantly would think would make durable enough withstand drop broke first second time fellthe sound quality problem seems bluetooth link weak susceptible interference worth,0.06,0.284,1
looking replacement bluetooth headset started looking bluetooth speakerphone research looking following installation wanted use multiple vehicleslocations reasonable price trusted brand good sound quality easy usei happy report good sometimes great job satisfying requirement here look performedsetup upon opening box really two thing insert visor clip easily secured use car charger come unit instruction said charging could take two hour unit fully charged minute complete simply power device automatically enters pairing mode able find see review problem alluse coming background using headset must say cannot imagine going back really like anything hanging ear sometimes inserted ear depending headset model also seems geared toward people use headset operation similar one nice thing power button separate multifunction button able initiate voice dialing speakerphone set autoanswer call automatically transferred second volume control side easily accessible operate similar headset never touch phone truly handsfreecall quality meaningless call dont sound good right well fear call quality party better headset ever used ive used six different one last year positioning texas heat people high setting unfortunately headset positioned directly line air flow however visor clipon speakerphone case add noise canceling technology people end hardly know speakerphone end volume adequate really simple matter physic speaker bigger headsetcons whats catch mentioned earlier device ship car charger ordered rather cheaply wall charger compensate annoying wasnt end world others mentioned flashing blue light admit first time driving dark initially distracting however got used rather quickly dont notice anymore would compare getting new car loud turn signal notice lot first learn tune also display neither headset finally use similar manner headset take get car power us integrated speakerphone isnt tied car power supply like sophisticated expensive model none dealbreakers mebottom line looking good alternative bluetooth headset intended use pattern similar headset looking great quality easy use,0.193,0.059,0
waste time doesnt even look good like picture glitter come dont waste money,0.128,0.41,1
excellent replacement working fine far price fine complaint far simple charger nothing special describe,0.352,0.215,0
love use cable charge phone house car best little car charger device seen used small cant even tell,0.344,0.0,0
purchased headset high hope indeed noise cancellation feature work well would often call family friend standing next busy street corner would none wiser sound quality excellenthowever major quality control problem charging port bottom headset get stuck charging adapter several week month use completely come render device inoperable longer able successfully charge itafter happened first headset contacted company quickly replaced however replacement developed exact problem manner week contact company sure replace confident next replacement free defectas cool noise cancellation feature good outgoing sound cannot good conscience recommend headset sort quality control problem still giving star work work well caveat emptor,0.271,0.109,0
paired easily treo sound quality perfect one complained sound quality end like motorolla comfortable light battery life good totally happy,0.545,0.078,0
worked fine month stopped charging swapped couple car effect checked fuse wasnt blown stopped working,0.102,0.216,1
didnt feel sturdy product felt flimsy tried afraid drop phone,0.0,0.189,1
case blackberry year deciding part beloved blackberry iphone gave old phone friend took phone case phone looked new day bought case took one hell beating year held wonderfully,0.254,0.185,0
got case nephew claim expected charge case last phone covered whole thing like back phone replacement doesnt add much weight,0.116,0.0,0
many negative review casemy wife iphone case type problem used case year stayed together wife second really abuse phone sorry hun buy,0.0,0.409,1
like phone feel well made beautiful quality generously proportioned screen definite plus folk like game cell although amazon listing call triband phone fact quadband importantly speaks mac using data cable pick cheapie ebay function flawlessly isync ical address book thing pleased contact email address dont seem transfer phone reason gave star instead might way accomplish havent able figure itbut really like phone function quite handsomely wireless bluetooth modem phone us tmobile network combined data eat program around month ibook dlink adapter good set bit complex nice folk tmobile supplied infoits control easy use look great live signal challenged area found work better cell ever owned photo quality isnt anything write home though zoom feature pretty effective generally speaking like cell phone data card capacity particularly photo storage tmobile nifty album feature let store pic online also impressed little phone soundthe real winner,0.362,0.008,0
road warrior lot gear need one plug car aux electrical outletthis one equipped hardwiring option place system fuse block leave stock outlet freei mounting outlet block inside car center bin give charging option phone tablet kindles camera etc fit inside bin charge thereymmv youre starting gadget install correctly charging option need,0.044,0.124,1
thing peel time never last cheap product wouldnt recommend using phone unless buying,0.0,0.15,1
think excellent product recommend,0.756,0.0,0
first battery held charge maybe hour contacted mynetdeals day sent another one using battery charge last two day,0.0,0.0,0
lot research phone finally settling phone really didnt need player usually carry pda well feature phone good pas considered motorola razr saw lot complaint battery life well problem ive previously using superb battery life phone equally good certainly important plan use music playerfirst thing firstentering phone number tedious phone something always dread thankfully came software sync outlook took little figure syncing software hook phone usb phone mode file mode reason software always tell cant find phone file mode sync put phone mode turn file mode used transferring mp still tell cant find phone yet transfer work sometimes plug computer wont see without rebooting cost lot time aggravation trying figure well somewhat annoying implementation time saver something ive never phone hard gripe usually dont bother put appointment task cell phone since sync outlook thats easy well may smartphone could replace pda casual usersthe player decent enough sound quality much better expected tried builtin radio wow awesome reception cord act antenna sure unwind best result considering far station quite impressed nice sounded simple equalizer setting nothing special gripe would lack external memory card there certainly room one added guess sonys proprietary memory stick would large squeeze rather add slot left completely booo thatphone data feature worked great got even better reception also edge problem using bluetooth connect pda laptop speed pretty nice medium net service worked fast nice demo service included well sure pay definitely worth consideringcamera better cell phone camera used still nothing great pseudoflash least attempt improve indoor shot real camera still beat pant even use little flashlight so beacon get lost even better image import included software nice easily copy good photo use contactsto use keypad swivel back camera make cool little sound light easiest motion onehanded also make getting decent playthrough case lot harder phone button easy press though improvement old also couple button top screen confused function course dont bother manual figure used playing game landscape mode neat idea couple bug well using voice dial misrecognized command result really weird annoying sound coming phone voice command symbol address book buggyappearing disappearing contact dont hopefully phone firmware upgrade fix thesethis first cell phone ive real speakerphone really use without hold earassuming someplace wont disturb user play music speaker well use mp alarm phone sound lot thing play reason lot phone tone buy cingular available phone yet hopefully get working soon also trouble downloading couple game purchasedsome user reported issue using bluetooth headset particularly voice control fan another device charge time prefer using regular handfree phone actually come one free headphone double handsfree headset addition antenna well worth carrying using bluetooth headset imoi able get pda laptop pair use modem internet connection although laptop bit flaky require bluetooth upgrade reboot get working great speed difference edge network according window getting kbps old phone usually around kbps phone nice symbol tell edge regular gprs even house country able get edge pleasant surprise havent traveled much yet look like already pretty good coverage metro area particular shouldnt issueso may smallest lightest phone definitely issue like weird swivel design voice dial bug lack memory card support may cause complaint priority phone great battery life excellent reception edge bluetooth easy use one definitely top list dont already portable mpfm player dont see could even consider anything else ive yet find perfect phone one come close much better phone ive give star,0.274,0.068,0
pentalobe driver got paid extra day shipping client need work got plain old small philip screwdriver suction cup pry bar rip buck spent today client losing money,0.045,0.09,1
great believer spending little possible glitzbells whistle generally performance practicality sound quality feature fine price unit quite difficult wear boom wide boxy weight unbalanced well could get comfortable fit ear well within normal range size shape bent shape headseton positive wind noise lost connection common criticism headset problem dont care medium long term fit comfort aesthetic walking around large unit hanging ear may happy headset wasnt returning going give cardo scala try good ill probably jabra spend bit money,0.285,0.148,0
bought week since cell phone area switched ended completely discharged battery dinnertime would nave given star direction helpful picture product page bit misleading first wording title product page stated charging cord included picture picture showing regular long size charging cord reality much shorter spiral charging cord said picture long black charging cord another long white charging cord white cord appears plugged electric socket neither cord included neither plug shown picture electric connection charging smart phone kindle fire micro mini plug although get small spiral charging cord got micro mini plug although usb output slotson white backup rechargeri attach one small spiral charging cord phone rechargeable backup battery charger cannot use small spiral charging cord power kindle fire dont another micro tip connect fire white backup recharger case work one electronic appliance one time cannot charge rechargeable backup charger wall plug close computer like idea able charge electronics regular plug absent computer probably buy usb wall plug really feel picture misleading use one charging cord attach backup battery charger using computer overnight went tip trying locate one supplied tip samsung stratosphere using micro usb regular usb charging cord charge backup charger via computer small spiral usb charging cord proper tip take outi know sound confusing felt working without benefit clear instructionsi recharged cell phone almost full charge using backup charger still blue bar lit indicating backup recharge one timei edit review used item get feel good actually thrilled wont paranoid anymore praying cell phone stay charged long enough get day,0.057,0.085,1
broke first week cheap plastic rubberized dont recommend one pretty,0.0,0.519,1
bought wanted case protect new iphone didnt want rubber case becase look childish fit right snug loose although leather sometimes feel vinyl real stuffand bit stinky like real leather,0.201,0.217,1
like power charger charge quickly phone use soon plug great quality,0.423,0.0,0
well made last failure point velcro closure relies square velcro hold closed square velcro glued glue fails prolonged exposure moisture sweat expected exposed moisture sweat mine failed third dont stitch onthe problem phone push backside arm arm creates pressure point wornit absorbs sweat like crazy need washed use start really smell badi like fact could see phone use touchscreen casei use bluetooth headphone seems might difficult run headphone cord thisthis fit people medium large sized biceps fit people small arm,0.164,0.178,1
wish found adapter earlieri two charger car home made work perfectly evo jawbone,0.385,0.0,0
nothing flashy case basic black good thing matte backside around edge shiny make grippy like volume onoff button covered keep dust covering make button harder push cutout good quite perfect youd ocd notice seems secure probably would come phone inadvertentlybtw blackout case completely opaque blue arctic frost crystal slip case identical blue transparentright different price listed actual cost shipping around definitely worth,0.26,0.0,0
work although several folk said hard hear everyone though could factor thing like least hard put maybe accustomed using headset havent found quick way put onehanded,0.088,0.099,1
good inexpensive put one everywhere know ill always able charge phone dont like bright blue light handle got used dependable,0.111,0.279,1
got charge iphone stuck class without power outlet fully charged ive able juice iphone least time almost dead battery backup pack still reporting full charge carry around backpack case get stuck without power thickness iphone little bit widerid recommend picking short usb cable found ipod dock usb cable keep backup charger,0.038,0.173,1
small usb charger car charger hard remove car lighter plug within two month removed case snapped apart piece inside went flying car,0.0,0.062,1
bought aliph jawbone bluetooth headset noiseasssassin black hated work like suppose,0.159,0.268,1
phone week almost perfect carefull case magnet phone sensitive turn ons camara stuff opening closing resting case draining battery even blocking screen completely answering call need double action first unlock screen touch answer key annoying turning screen unresponsive shake phone get screen another position touch screen lack sensitivity compared capacitive screen,0.058,0.158,1
poor quality got one around month ago working oly use weekend kid togehter car need charge multiple gadget give refund poor quality item,0.0,0.228,1
son dropped phone cost get replace bought case dropped phone nothing happen well worth money,0.0,0.211,1
cover nice look expensive well built built last recommend cover get,0.481,0.0,0
beware kinda figured cheap real bought anyway doesnt charge never seems like good deal doesnt work hardly enough money bother sending back,0.0,0.259,1
took month get splitter cable ordered trip week ahead cable still didnt show ended going walmart buy splitter cable avoid seller plan getting cable anytime next day,0.0,0.078,1
shipped dirt dust protector impossible remove bubble glue red black remove tab left glue proctor wont come offwont use,0.0,0.118,1
product work box plugged phone tablet avoid,0.0,0.268,1
let see doesnt work phoneany phone house android higher useless self contained feature dont depend phone sync thick work watch even though include band sosave money,0.0,0.101,1
jabra first came battery stopped charging month got one replacement stopped charging year problem earpiece battery replaceable done industry want make money selling whole unit pay dollar replace battery kind practice sustainable back wired headset,0.113,0.19,1
charge way double battery liek promised case protects well color awesome nice,0.663,0.0,0
armband iphone really small put around leg get job done,0.0,0.0,0
old phone battery really bad got one instead worked perfect phone never issue,0.2,0.205,1
sure use product using headset doesnt stay well tends fallout walking running product must storing device,0.127,0.1,0
cover extremely thin curl front edge drop phone gone,0.0,0.208,1
ive bluetooth literally year love flip open turn also like rest ear,0.401,0.0,0
device might work user small cell phone likely work next model adjusting range direction way small hold samsung galaxy cell phone fact probably year since cell phone small enough fit device open package look well built enough find telescoping leg extension dont lock place removing one screw disassembles entire holder holding phone relies spring instead locking adjustment place worse low price often economical ship part back china amazoncom take product marketplace inspect good shipping directly china acceptable manufacturing quality allowing sold marketplace taking big gamble anytime buy product shipped directly china opinion suspect mean distributor found product acceptable enough sell may factor buy barber cape catch hair hair cut excellent low priced verge simply cancelling order arent fulfilled amazoncom cant delivered le week,0.111,0.121,1
ive earpiece year still work well day one never problem never fall ear sound great,0.413,0.0,0
first otterbox case always bulky like fashionable case wireless phone putting little challenging watch video rubber casing really good good thing phone protected everythingi left screen protector mistake touch screen wasnt nearly respondent took apart removed screen protector screen totally percent respondent issue want take phone put different case loose protection built screen protector otterbox work great keep phone protected fine right impressed first otterbox,0.313,0.056,0
look carefully called bad review notice either dont know use phone may received faulty phone happens every manufacturer every brand every type phonenow wife day far problem whatsoever ordered got black one got silver one got free btwjust word like want shared plan cingular amazon offer plan order ordered phone cheapest single plan amazon sends conformation order shipped get cell phone number right emaili simply called cingular gave phone number phone told deal service changed single rollover min shared plan even got phone hand problem respect got phone called back check yes person cingular done everything asked also checked phone account main menu page phone go online check everything account many minute plan next bill due etc etc sure enough everything supposed beas far signal strength excellent area house upstairs downstairs stay bar dont recall seeing le bar around town far phone get great signal cingular area put great signalmy wife came back business trip mile away roaming charge btw last cell phone service alltel would roaming within milesanyway got hotel called perfect signal strength put phone speaker phone mode laid phone closed position night stand unpacked suitcase put mine night stand talked hour problem free call mobile mobilewe sent couple text message worked problemshe used phone alarm clock next morning worked perfectlynow reviewer said battery life likely gotten one ive phone day charged time never let point say need charging average day per charge like manual state appears though battery life getting bit better charge easily going get day per charge thats lot fiddling around new hour talk timesome one mentioned dropped phone hinge broke yet drop phone seems well made either way would suggest getting krusell cover delivered yet also insurance month cingular cover anything everything life phone thus problem solvedsomeone mentioned something address book slow even sure mean number far come virtually instantly maybe number might take couple second dunnoas searching phone book mentioned make new entry number person dont option show number way wish either name speed dial voice name even email without picture personsomeone said took second open address book dial number well sec mention set voice command take secwant faster easier lot namesentries set list picture primary number simple also separate number even putting category businesspersonalgeneralvipsbring category number way even name thins categorywhen primary number listed need get number email listing name highlight name use left right navigation button get number simple easy use find phone book excellent fast mentioned something ear piece volume low ear piece volume fine make sure volume turned good cell phone ever used make sure ear right top edge phone low volume sound low someone mentioned take little blue cover since nothing ear piece volume speaker hole along top edge phone make sure center ear even hole volume loud phone usednow find phone overall excellent get great signal way enough feature work well intended purpose phone seems well made nice size look great really nice screen sharp image colorsi one complaint farthe screen look outstanding inside indoor lighting especially dark well screen outdoors sunlight virtually unreadable one gripei come back update anything change right free hardly see wrong phoneupdate wife still phone neither even one single problem getting close year everyday use phone cell phone service land linethe slight problem year finally change battery went cheap battery find several place even close good original battery fault phonethese phone preformed flawlessly use hell,0.223,0.073,0
mine worked fine couple week wire near phone connection got loose today plugged loud crackle big puff black smoke emerged,0.081,0.104,1
case broke within day without ever dropped even though part broken helped got new case,0.0,0.312,1
sure people complaining think cool idea organized nice looking efficient way charge display blackberry bold thought awesome idea luxury owning bold see purpose buying proper essential show convenience charging style love,0.499,0.038,0
bought former blackberry love much bought another one gift loved,0.611,0.0,0
iphone support full feature set plantronics capable work well figure feature work big feature adp stereo headset capability work well good sound quality lessthanoptimal side mute button usefully double onoff button whatever set play ipod thats ipod control work skip next track fast forward rewind control work even though headset capability paperit support voice dialing pretty well though holding button two three second little awkward iphone doesnt get youre trying every time took awhile figure sliding mic boom back hang call work every time redial function work terribly well push big button twice discovered accident learning want make positively sure headset put slip shirt pocket else dial last caller without knowing depending hear leading potentially embarrassing situationsthe bluetooth connection skip occasionally podcasts music audiobooks playing one cant everything hence five star either earth thing seems work well one expect electronic doodah four star book,0.223,0.061,0
good used handful time light duty charging phone using time received red fault light plugged couple time cigarette lighter see problem resolve blew fuse car buy brand againcompany would stand behind product told contact amazon day luck,0.219,0.116,0
liked case lot plastic shell started cracking owning one month unfortunately buy amazon boxwave would provide replacement purchased amazon directly liked lot unusable,0.306,0.082,0
like charger fast use easier proved ago thanks,0.621,0.0,0
charger work great really charge rapidly ive issue since received itgreat product expensive would definitely recommend anyone,0.399,0.0,0
plug particular charger flimsy break bend plug phone pull phone hard bought two one still work,0.0,0.085,1
bubbling course bad worked fine wife phone speck case mine put voi case back lifted edge ruined cover bought wife phone anyway wasnt disappointed didnt work mine,0.128,0.194,1
upon first receiving case realized bottom half would fit snug top however since slight gap big deal proceeded use primary case unfortunately le month use case broken cracked numerous place regular use obviously throw phone drop several time ground color fading chipped certain area case absolutely horrible recommend anyone even low price isnt worth,0.134,0.222,1
bought two since att decided eliminate little phone could longer get car charger themthanks attyou forced shop elsewherewhich continue doonly problem item got two unbelievably cheap price found later one work one doesnt know going trip trying buy supplier againgood businesstheres old saying shear sheep againbut skin,0.0,0.112,1
really hoping dud piece junk inserted sim attempted cut entire cutter bent didnt even cut way sim spend money get higher quality cutter come two cheesy plastic adapter didnt get chance use since cutter trashed sim didnt cut way check customer image ive uploaded see kind quality product may ordering,0.109,0.173,1
sure headset isnt tiny best sounding one ive ever thats point right considering unit look get thing ill never use headset awesome,0.077,0.318,1
